ImageID,ModelLoss,DataLoss
0000,0.6080871,0.010109824
0001,0.91055876,0.05550155
0002,0.69721043,0.020125039
0003,0.46497676,0.0063220817
0004,0.6599928,0.012421344
0005,1.0725123,0.24619806
0006,0.5992306,0.006323481
0007,0.5425783,0.0224102
0008,0.93413794,0.070380636
0009,0.6356058,0.0085556125
0010,0.5768151,0.005086613
0011,0.26508662,0.0023552233
0012,1.0552522,0.2691893
0013,0.14811176,0.00096325984
0014,0.5314627,0.0012144595
0015,1.0336596,0.59338516
0016,0.8726922,0.034183435
0017,0.9551022,0.062626086
0018,0.5757831,0.0033738592
0019,0.47508094,0.001759238
0020,0.90178955,0.068419434
0021,0.62178755,0.0047902614
0022,0.8539493,0.028831765
0023,0.74543715,0.022812352
0024,0.26913163,0.0037217368
0025,0.43063387,0.016803995
0026,0.6254586,0.011778828
0027,0.6284395,0.0047427868
0028,0.7846937,0.027886828
0029,0.31619713,0.0051215696
0030,0.7610788,0.026395505
0031,0.9013597,0.05482956
0032,0.63031924,0.012329011
0033,0.60326326,0.0043449546
0034,0.6793764,0.011182568
0035,0.35438815,0.0029050568
0036,0.8836156,0.028920868
0037,0.5689823,0.00185929
0038,0.3342997,0.0025646957
0039,0.82690686,0.026970876
0040,0.9579474,0.04257258
0041,0.6565934,0.0025144645
0042,0.62207836,0.025844466
0043,0.9890579,0.05461725
0044,0.44311622,0.0036987811
0045,0.46725282,0.017577667
0046,0.4578346,0.002252968
0047,1.1161919,0.6003763
0048,0.3866987,0.0024160228
0049,1.0684105,0.11102476
0050,1.0771667,0.19703619
0051,1.0479227,0.29005173
0052,0.34367546,0.0044295457
0053,0.6269825,0.006041211
0054,0.55450237,0.006779803
0055,0.2855101,0.022539586
0056,0.8007732,0.02109509
0057,0.41516265,0.0017440368
0058,0.48994234,0.0018639447
0059,0.4141896,0.0017803564
0060,0.46308514,0.008369365
0061,0.2018067,0.0013056268
0062,0.40188843,0.0025879375
0063,0.40497535,0.0038812843
0064,0.43847033,0.0029635893
0065,0.60879135,0.005607211
0066,0.67346793,0.007893784
0067,0.6724243,0.005543326
0068,0.6189157,0.021352531
0069,0.6787691,0.0047197016
0070,0.98924017,0.063759886
0071,1.1005863,0.15504825
0072,0.9306047,0.03346429
0073,0.30311778,0.0018790658
0074,1.0679349,0.20867755
0075,0.28262278,0.003446148
0076,0.6103854,0.006060195
0077,0.82517964,0.010300782
0078,0.17155552,0.007327337
0079,0.80850166,0.01641689
0080,0.71074677,0.012138999
0081,1.0445476,0.123201944
0082,0.446721,0.005844371
0083,1.0332432,0.08009823
0084,0.8328062,0.026156822
0085,0.6903919,0.009069472
0086,0.79786307,0.025378978
0087,0.476211,0.004228883
0088,1.0,1.0
0089,0.43754596,0.002941016
0090,0.58260655,0.0075322706
0091,0.2427016,0.00453376
0092,0.74351615,0.014228292
0093,0.1325619,0.004403397
0094,0.32950255,0.007886795
0095,0.70994437,0.008649115
0096,0.4997191,0.011989536
0097,0.72107667,0.009418902
0098,0.105681725,0.0013753438
0099,0.5921759,0.0096951425
0100,0.5765117,0.0072605917
0101,0.6268217,0.0040078377
0102,0.72784233,0.040784046
0103,0.13417453,0.0020525802
0104,0.6216333,0.00220606
0105,0.58930784,0.014067398
0106,1.0177433,0.073485926
0107,0.69842327,0.007186133
0108,0.98765033,0.055607185
0109,0.43172884,0.0072005806
0110,0.69431406,0.010266677
0111,1.0612291,0.267225
0112,0.20594868,0.0010572247
0113,1.0360807,0.09781597
0114,0.9146726,0.045407414
0115,0.784195,0.019575674
0116,0.46174902,0.0026301758
0117,0.13551958,0.0069660577
0118,0.30330715,0.0017460216
0119,0.63893497,0.0037903443
0120,0.58700264,0.025851533
0121,0.6402884,0.004733308
0122,0.7375244,0.006737964
0123,1.0759015,0.121482655
0124,0.6235115,0.009217423
0125,0.62804085,0.0038650946
0126,0.21259718,0.0025668573
0127,0.16862501,0.0030349998
0128,0.7251174,0.0066324025
0129,0.35452884,0.0010519527
