ImageID,ModelLoss,DataLoss
0000,0.23908849,0.0039851675
0001,0.3250607,0.017603155
0002,0.18658835,0.004945207
0003,0.18418016,0.003546968
0004,0.21361266,0.002623236
0005,0.6932365,0.10685567
0006,0.4805937,0.0070975227
0007,0.13695158,0.0099738
0008,0.45796418,0.017039478
0009,0.2895734,0.0031671678
0010,0.23314065,0.004822859
0011,0.121289305,0.0031362996
0012,0.8495535,0.106852315
0013,0.04980929,0.0013104037
0014,0.13230067,0.006581751
0015,1.054982,0.37899566
0016,0.6774731,0.020611694
0017,0.3007043,0.029852562
0018,0.23516631,0.001661082
0019,0.19321504,0.0021239712
0020,0.26278737,0.04486248
0021,0.31839493,0.00901223
0022,0.41654748,0.02325873
0023,0.29901597,0.012379686
0024,0.13990766,0.0041781343
0025,0.34076548,0.012090333
0026,0.3072216,0.0039339224
0027,0.30715066,0.0050761467
0028,0.18996684,0.0076857693
0029,0.14688285,0.009206572
0030,0.2222051,0.011504301
0031,0.22551508,0.014314722
0032,0.22428477,0.0025724368
0033,0.36179435,0.003616432
0034,0.27222657,0.00549584
0035,0.12328393,0.002618731
0036,0.24559414,0.00942382
0037,0.1697074,0.0024789555
0038,0.27223623,0.008398645
0039,0.24372108,0.011188939
0040,0.2824636,0.049336717
0041,0.45620787,0.0026713202
0042,0.13686544,0.010482356
0043,0.38864577,0.013588593
0044,0.25855875,0.0025731737
0045,0.53538555,0.008180124
0046,0.17333615,0.002972648
0047,1.0003359,1.0116279
0048,0.21549352,0.0015958747
0049,0.29958433,0.03915597
0050,0.5882468,0.07197221
0051,0.9080305,0.1219872
0052,0.120265596,0.0039246357
0053,0.24068381,0.008181062
0054,0.25555167,0.0048250086
0055,0.2774975,0.01682806
0056,0.2995494,0.007995895
0057,0.18118472,0.0055135577
0058,0.28942937,0.0020234697
0059,0.19059238,0.003750189
0060,0.22753352,0.0043203677
0061,0.12583372,0.006343355
0062,0.15089856,0.002731572
0063,0.17036241,0.0032949233
0064,0.20564118,0.0031059922
0065,0.4099892,0.003047334
0066,0.24884826,0.0030695873
0067,0.2514257,0.005650106
0068,0.15493318,0.007911651
0069,0.36213252,0.00925671
0070,0.21771576,0.022317676
0071,0.37897956,0.07106817
0072,0.33008412,0.03764677
0073,0.13273282,0.0025383942
0074,0.69200146,0.10181865
0075,0.09555413,0.0042290976
0076,0.37867367,0.004698913
0077,0.37059554,0.01173015
0078,0.09055598,0.0032183041
0079,0.39793482,0.024024135
0080,0.22576636,0.005112836
0081,0.5244704,0.02857845
0082,0.20828666,0.004435647
0083,0.52104026,0.052817393
0084,0.3575244,0.011403221
0085,0.25020164,0.0018398064
0086,0.29971033,0.009503891
0087,0.22690448,0.003242661
0088,1.0,1.0
0089,0.24283892,0.0056770416
0090,0.21320601,0.0029581042
0091,0.1814068,0.0045968452
0092,0.40746877,0.012558868
0093,0.15930837,0.0023651326
0094,0.15787694,0.001587676
0095,0.3397247,0.0077730855
0096,0.16277981,0.010409947
0097,0.3511386,0.009544381
0098,0.04885294,0.0015088533
0099,0.18242092,0.002140235
0100,0.22771466,0.00843193
0101,0.26826134,0.005603982
0102,0.1154914,0.028487824
0103,0.054780185,0.0017926327
0104,0.31329226,0.0056808423
0105,0.16908869,0.0038369163
0106,0.18511795,0.03401506
0107,0.335048,0.0062798844
0108,0.2673275,0.009899294
0109,0.13110712,0.0031720232
0110,0.32041234,0.0046630153
0111,0.8152883,0.100552104
0112,0.19178475,0.00059791864
0113,0.43490785,0.050402176
0114,0.33135635,0.011017378
0115,0.29905838,0.008457475
0116,0.22408962,0.0054292497
0117,0.11584139,0.0027997917
0118,0.098879136,0.001985158
0119,0.33273518,0.0062159705
0120,0.25685048,0.03622971
0121,0.34979957,0.0061024074
0122,0.33665568,0.020218087
0123,0.2733587,0.06779245
0124,0.279838,0.026843106
0125,0.3122748,0.00834048
0126,0.11016008,0.0014156875
0127,0.059020534,0.003316346
0128,0.24587326,0.003964559
0129,0.15893482,0.003116488
0130,0.36493248,0.0089580575
